State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Pune,Pune(Manjri),Onion,Local,FAQ,26/03/2024,1300,1600,1500,23
Karnataka,Udupi,Udupi,Onion,Onion,FAQ,26/03/2024,2900,3000,3000,23
Kerala,Ernakulam,Angamaly,Onion,Big,FAQ,26/03/2024,2000,3000,2500,23
Himachal Pradesh,Kullu,Bhuntar,Onion,Other,FAQ,26/03/2024,2500,2800,2700,23
Himachal Pradesh,Mandi,Mandi(Mandi),Onion,Onion,FAQ,26/03/2024,2000,2500,2400,23
Himachal Pradesh,Solan,Solan,Onion,Other,FAQ,26/03/2024,2000,2400,2300,23
Karnataka,Bangalore,Bangalore,Onion,Local,FAQ,26/03/2024,800,1400,1100,23
Karnataka,Bangalore,Bangalore,Onion,Onion,FAQ,26/03/2024,1400,2000,1700,23
Karnataka,Bangalore,Bangalore,Onion,Puna,FAQ,26/03/2024,1000,1800,1600,23
Kerala,Palakad,Pattambi,Onion,Small,FAQ,26/03/2024,3200,3600,3300,23
Kerala,Thirssur,Wadakkanchery,Onion,Onion,FAQ,26/03/2024,2400,2600,2600,23
Madhya Pradesh,Indore,Indore,Onion,Onion,FAQ,26/03/2024,742,1491,1491,23
Nagaland,Mokokchung,Mokokchung Town,Onion,Other,FAQ,26/03/2024,4500,5500,5000,23
NCT of Delhi,Delhi,Azadpur,Onion,Onion,FAQ,26/03/2024,750,1875,1469,23
Haryana,Panipat,Panipat,Onion,Other,FAQ,26/03/2024,1000,1400,1200,23
Haryana,Sonipat,Sonepat(Kharkhoda),Onion,Other,FAQ,26/03/2024,800,1500,1200,23
Haryana,Yamuna Nagar,Jagadhri,Onion,Other,FAQ,26/03/2024,1480,1720,1600,23
Himachal Pradesh,Hamirpur,Hamirpur,Onion,Other,FAQ,26/03/2024,2500,2800,2650,23
Maharashtra,Akola,Akola,Onion,Other,FAQ,26/03/2024,800,1300,1100,23
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Onion,Red,FAQ,26/03/2024,600,1900,1250,23
Maharashtra,Jalgaon,Jalgaon,Onion,Red,FAQ,26/03/2024,500,1500,1200,23
Maharashtra,Nashik,Devala,Onion,Other,FAQ,26/03/2024,500,1500,1425,23
Maharashtra,Nashik,Devala,Onion,Red,FAQ,26/03/2024,400,1365,1300,23
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,FAQ,26/03/2024,400,1200,900,358
Gujarat,Dahod,Dahod(Veg. Market),Onion Green,Onion Green,FAQ,26/03/2024,1000,2000,1500,358
Gujarat,Surendranagar,Vadhvan,Onion Green,Onion Green,FAQ,26/03/2024,1000,1500,1250,358
Tripura,Sepahijala,Melaghar,Fish,Rahu(Local),FAQ,26/03/2024,27000,29000,28000,366
Maharashtra,Pune,Pune,Onion Green,Other,FAQ,26/03/2024,5,15,10,358
Tripura,West District,Kamalghat,Fish,Rahu(Andhra),FAQ,26/03/2024,19500,20000,19800,366
Tripura,West District,Mohanpur,Fish,Rahu(Andhra),FAQ,26/03/2024,19000,20000,19500,366
Rajasthan,Bikaner,Bikaner (F&V),Mint(Pudina),Other,FAQ,26/03/2024,1800,2000,1900,360
Rajasthan,Jaipur,Jaipur (F&V),Mint(Pudina),Mint(Pudina),FAQ,26/03/2024,800,1000,900,360
NCT of Delhi,Delhi,Azadpur,Onion Green,Onion Green,FAQ,26/03/2024,1000,2500,2200,358
Telangana,Hyderabad,Bowenpally,Onion Green,Onion Green,FAQ,26/03/2024,1000,3000,2500,358
Uttar Pradesh,Saharanpur,Deoband,Onion Green,Onion Green,FAQ,26/03/2024,1860,1870,1865,358
Haryana,Mahendragarh-Narnaul,Mohindergarh,Gram Raw(Chholia),Gram Raw(Chholia),FAQ,26/03/2024,1000,1000,1000,359
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,26/03/2024,300,400,350,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,26/03/2024,200,250,220,368
Tripura,Sepahijala,Sonamura,Cock,Boiler/Firm(White),FAQ,26/03/2024,200,250,230,368
Kerala,Malappuram,Perinthalmanna,Carrot,Carrot,FAQ,26/03/2024,1500,2000,1800,153
Maharashtra,Satara,Karad,Ridgeguard(Tori),Other,FAQ,26/03/2024,1000,2000,2000,160
Maharashtra,Sholapur,Solapur,Ridgeguard(Tori),Other,FAQ,26/03/2024,1000,2500,1500,160
Kerala,Kottayam,Ettumanoor,Beetroot,Other,FAQ,26/03/2024,3600,4000,3800,157
Kerala,Kottayam,Thalayolaparambu,Beetroot,Beetroot,FAQ,26/03/2024,4200,4600,4400,157
Telangana,Hyderabad,Bowenpally,Ridgeguard(Tori),Other,FAQ,26/03/2024,1000,3000,2500,160
Kerala,Alappuzha,Harippad,Cabbage,Other,FAQ,26/03/2024,3000,3500,3000,154
Kerala,Alappuzha,Kayamkulam,Cabbage,Other,FAQ,26/03/2024,2900,3100,3000,154
Tripura,Sepahijala,Bishalgarh,Carrot,Other,FAQ,26/03/2024,3500,4000,3800,153
Tripura,Unokoti,Pabiacherra,Carrot,Carrot,FAQ,26/03/2024,2800,3000,2900,153
Kerala,Ernakulam,Kothamangalam,Cabbage,Other,FAQ,26/03/2024,2000,3000,2500,154
Kerala,Ernakulam,North Paravur,Cabbage,Cabbage,FAQ,26/03/2024,2500,4000,3000,154
Kerala,Ernakulam,Thrippunithura,Cabbage,Cabbage,FAQ,26/03/2024,4000,5000,4200,154
Uttar Pradesh,Amethi,Jafarganj,Carrot,Carrot,FAQ,26/03/2024,1650,1750,1700,153
Kerala,Idukki,Vandiperiyar,Cabbage,Other,FAQ,26/03/2024,3600,4000,3800,154
Kerala,Kasargod,Kanjangadu,Cabbage,Cabbage,FAQ,26/03/2024,2600,3400,2800,154
Uttar Pradesh,Badaun,Bilsi,Carrot,Carrot,FAQ,26/03/2024,1400,1450,1420,153
Karnataka,Kalburgi,Kalburgi,Capsicum,Capsicum,FAQ,26/03/2024,2000,4000,3000,164
Meghalaya,West Garo Hills,Tura,Cabbage,Cabbage,FAQ,26/03/2024,1800,2200,2000,154
Nagaland,Phek,Phek,Cabbage,Cabbage,FAQ,26/03/2024,3000,4000,3500,154
Kerala,Ernakulam,Broadway market,Capsicum,Capsicum,FAQ,26/03/2024,8000,10000,8200,164
Uttar Pradesh,Jaunpur,Mugrabaadshahpur,Carrot,Carrot,FAQ,26/03/2024,1430,1630,1530,153
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Cabbage,Other,FAQ,26/03/2024,1200,1600,1400,154
Uttar Pradesh,Mathura,Kosikalan,Carrot,Carrot,FAQ,26/03/2024,1320,1360,1340,153
Uttar Pradesh,Raebarelli,Jayas,Carrot,Carrot,FAQ,26/03/2024,1700,1880,1800,153
Uttar Pradesh,Raebarelli,Raibareilly,Carrot,Carrot,FAQ,26/03/2024,1200,1250,1225,153
Punjab,kapurthala,Phagwara,Cabbage,Other,FAQ,26/03/2024,950,1600,1100,154
Punjab,Ludhiana,Ludhiana,Cabbage,Other,FAQ,26/03/2024,700,1000,800,154
Punjab,Moga,Baghapurana,Cabbage,Cabbage,FAQ,26/03/2024,1000,1300,1200,154
Punjab,Muktsar,Giddarbaha,Cabbage,Cabbage,FAQ,26/03/2024,1000,1200,1200,154
Karnataka,Udupi,Udupi,Cucumbar(Kheera),Cucumbar,FAQ,26/03/2024,1400,1500,1500,159
Punjab,Nawanshahr,Banga,Capsicum,Capsicum,FAQ,26/03/2024,5553,7500,5626,164
Punjab,Pathankot,Pathankot,Capsicum,Capsicum,FAQ,26/03/2024,4800,5000,5000,164
Punjab,Patiala,Patran,Capsicum,Other,FAQ,26/03/2024,3200,3500,3290,164
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Cucumbar(Kheera),Cucumbar,FAQ,26/03/2024,2500,3500,2800,159
Maharashtra,Jalgaon,Bhusaval,Raddish,Other,FAQ,26/03/2024,1000,1000,1000,161
Maharashtra,Nashik,Nashik(Devlali),Raddish,Other,FAQ,26/03/2024,1650,3450,2951,161
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Chapparad Avare,Chapparada Avarekai,FAQ,26/03/2024,2800,3100,2900,169
Punjab,Gurdaspur,Kalanaur,Capsicum,Capsicum,FAQ,26/03/2024,2500,2500,2500,164
Punjab,Bhatinda,Bhagta Bhai Ka,Cabbage,Other,FAQ,26/03/2024,1800,1800,1800,154
Karnataka,Davangere,Davangere,Cucumbar(Kheera),Cucumbar,FAQ,26/03/2024,1000,1500,1200,159
NCT of Delhi,Delhi,Azadpur,Cabbage,Cabbage,FAQ,26/03/2024,1000,1600,1300,154
Kerala,Malappuram,Kottakkal,Capsicum,Other,FAQ,26/03/2024,5500,5600,5550,164
Himachal Pradesh,Shimla,Shimla,Cucumbar(Kheera),Cucumbar,FAQ,26/03/2024,2500,4000,3000,159
Tamil Nadu,Thiruvannamalai,Chethupattu,Ground Nut Seed,Ground Nut Seed,FAQ,26/03/2024,9066,9494,9066,268
Karnataka,Bellary,Bellary,Alasande Gram,Alasande Gram,FAQ,26/03/2024,6110,8570,7576,281
Karnataka,Gadag,Laxmeshwar,Alasande Gram,Alasande Gram,FAQ,26/03/2024,4569,7197,6944,281
Karnataka,Gadag,Gadag,Gurellu,Gurellu,FAQ,26/03/2024,4665,4665,4665,279
Rajasthan,Chittorgarh,Chittorgarh,Balekai,Other,FAQ,26/03/2024,2200,2600,2400,274
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Kinnow,Kinnow,Medium,26/03/2024,2200,2600,2450,336
Himachal Pradesh,Mandi,Mandi(Mandi),Kinnow,Kinnow,Medium,26/03/2024,2300,4300,3500,336
Himachal Pradesh,Una,Una,Kinnow,Kinnow,Medium,26/03/2024,3000,3500,3250,336
Punjab,Ferozpur,Zira,Kinnow,Other,Large,26/03/2024,1700,1900,1800,336
Punjab,Mansa,Budalada,Kinnow,Kinnow,Medium,26/03/2024,1000,2200,1500,336
Himachal Pradesh,Kullu,Bhuntar,Squash(Chappal Kadoo),Other,FAQ,26/03/2024,2500,3000,2800,332
Punjab,Amritsar,Mehta,Squash(Chappal Kadoo),Other,FAQ,26/03/2024,2000,2000,2000,332
West Bengal,Darjeeling,Siliguri,Squash(Chappal Kadoo),Other,FAQ,26/03/2024,1000,1200,1100,332
Uttar Pradesh,Prayagraj,Ajuha,Brinjal,Brinjal,FAQ,26/03/2024,2000,2100,2050,35
Uttar Pradesh,Raebarelli,Jayas,Brinjal,Round/Long,FAQ,26/03/2024,2000,2150,2100,35
Uttar Pradesh,Sambhal,Muradabad,Brinjal,Round/Long,FAQ,26/03/2024,1700,1740,1720,35
Uttar Pradesh,Shamli,Kairana,Brinjal,Round/Long,FAQ,26/03/2024,1225,1325,1275,35
Uttar Pradesh,Shamli,Shamli,Brinjal,Round/Long,FAQ,26/03/2024,1825,1925,1875,35
Uttar Pradesh,Farukhabad,Farukhabad,Brinjal,Round/Long,FAQ,26/03/2024,1900,2100,2000,35
Uttar Pradesh,Farukhabad,Kayamganj,Brinjal,Brinjal,FAQ,26/03/2024,2100,2200,2150,35
Uttar Pradesh,Gautam Budh Nagar,Dankaur,Brinjal,Round/Long,FAQ,26/03/2024,1800,2100,1955,35
Uttar Pradesh,Ghaziabad,Noida,Brinjal,Round/Long,FAQ,26/03/2024,1885,2000,1925,35
Uttar Pradesh,Hardoi,Sandila,Brinjal,Brinjal,FAQ,26/03/2024,1850,1950,1900,35
Uttar Pradesh,Jaunpur,Jaunpur,Brinjal,Brinjal,FAQ,26/03/2024,2000,2050,2025,35
Uttar Pradesh,Ballia,Vilthararoad,Brinjal,Brinjal,FAQ,26/03/2024,1200,1400,1300,35
