State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Kerala,Kollam,Anchal,Snakeguard,Snakeguard,FAQ,26/05/2024,4300,4500,4400,156
Kerala,Kollam,Chathanoor,Snakeguard,Other,FAQ,26/05/2024,6800,7200,7000,156
Kerala,Kottayam,Kattampak  VFPCK,Snakeguard,Snakeguard,FAQ,26/05/2024,3800,4000,3900,156
Kerala,Malappuram,Manjeri,Snakeguard,Other,FAQ,26/05/2024,3900,4000,3950,156
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Snakeguard,Other,FAQ,26/05/2024,1800,1800,1800,156
Tripura,North Tripura,Panisagar,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,26/05/2024,900,1100,1000,160
Tripura,Unokoti,Pabiacherra,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,26/05/2024,1800,2000,1900,160
Uttar Pradesh,Amethi,Jafarganj,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,26/05/2024,1420,1500,1460,160
Uttar Pradesh,Amroha,Hasanpur,Ridgeguard(Tori),Other,FAQ,26/05/2024,1420,1500,1450,160
Uttar Pradesh,Badaun,Bilsi,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,26/05/2024,1250,1350,1300,160
Uttar Pradesh,Badaun,Ujhani,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,26/05/2024,1300,1350,1330,160
Uttar Pradesh,Bulandshahar,Sikarpur,Cabbage,Cabbage,FAQ,26/05/2024,1400,1600,1500,154
Maharashtra,Pune,Pune(Moshi),Drumstick,Other,FAQ,26/05/2024,3000,4000,3500,168
Odisha,Khurda,Jatni,Drumstick,Drumstick,FAQ,26/05/2024,5000,6000,5500,168
Telangana,Ranga Reddy,Kukatpally(Rythu Bazar),Drumstick,Drumstick,FAQ,26/05/2024,4500,4500,4500,168
Kerala,Kottayam,Kanjirappally,Coconut,Medium,FAQ,26/05/2024,4400,4800,4600,138
Kerala,Malappuram,Manjeri,Coconut,Other,FAQ,26/05/2024,2900,3000,2950,138
Tamil Nadu,Erode,Elumathur,Coconut,Other,FAQ,26/05/2024,2531,2839,2721,138
Punjab,Tarntaran,Patti,Cucumbar(Kheera),Other,FAQ,26/05/2024,300,350,320,159
Punjab,Tarntaran,Tarantaran,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,1000,1200,1100,159
Rajasthan,Churu,Sujangarh,Cucumbar(Kheera),Other,FAQ,26/05/2024,1800,2000,1900,159
Rajasthan,Udaipur,Udaipur (F&V),Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,1500,2500,2200,159
Telangana,Mahbubnagar,Kalwakurthy,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,2000,3500,2750,159
Tripura,North Tripura,Kadamtala,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,2000,2200,2100,159
Tripura,South District,Kalsi,Cucumbar(Kheera),Other,FAQ,26/05/2024,3000,4000,3500,159
Uttar Pradesh,Aligarh,Aligarh,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,750,850,800,159
Uttar Pradesh,Aligarh,Atrauli,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,400,500,450,159
Uttar Pradesh,Badaun,Badayoun,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,980,1100,1025,159
Uttar Pradesh,Baghpat,Khekda,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,700,900,800,159
Uttar Pradesh,Bareilly,Anwala,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,800,1000,900,159
Uttar Pradesh,Fatehpur,Fatehpur,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,900,1000,950,159
Uttar Pradesh,Firozabad,Firozabad,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,815,985,900,159
Haryana,Rewari,Kosli,Cabbage,Other,FAQ,26/05/2024,1400,1400,1400,154
Kerala,Kasargod,Neeleswaram,Cabbage,Other,FAQ,26/05/2024,4600,5000,4800,154
Chattisgarh,Bilaspur,Tiphra,Raddish,Raddish,FAQ,26/05/2024,1300,1500,1400,161
Karnataka,Kolar,Chickkaballapura,Raddish,Raddish,FAQ,26/05/2024,2000,2500,2300,161
NCT of Delhi,Delhi,Keshopur,Cabbage,Cabbage,FAQ,26/05/2024,1000,1700,1300,154
Karnataka,Mysore,Mysore (Bandipalya),Ridgeguard(Tori),Ridgeguard(Tori),FAQ,26/05/2024,2800,3000,2900,160
Kerala,Kasargod,Neeleswaram,Ridgeguard(Tori),Other,FAQ,26/05/2024,6600,7000,6800,160
Karnataka,Kolar,Chickkaballapura,Chapparad Avare,Chapparada Avarekai,FAQ,26/05/2024,6000,7000,6500,169
Telangana,Hyderabad,Erragadda(Rythu Bazar),Ridgeguard(Tori),Other,FAQ,26/05/2024,3500,3500,3500,160
Telangana,Mahbubnagar,Shadnagar,Ridgeguard(Tori),Other,FAQ,26/05/2024,3500,4800,4500,160
Telangana,Warangal,Hanmarkonda(Rythu Bazar),Ridgeguard(Tori),Other,FAQ,26/05/2024,6800,7200,7000,160
Maharashtra,Pune,Junnar(Otur),Mango (Raw-Ripe),Other,FAQ,26/05/2024,1000,2700,2000,172
Maharashtra,Pune,Manchar,Mango (Raw-Ripe),Other,FAQ,26/05/2024,1000,3210,2205,172
Maharashtra,Pune,Pune(Moshi),Mango (Raw-Ripe),Other,FAQ,26/05/2024,2000,3000,2500,172
Haryana,Faridabad,Faridabad,Peas Wet,Other,FAQ,26/05/2024,3000,5000,4000,174
Haryana,Jind,Narwana,Peas Wet,Peas Wet,FAQ,26/05/2024,4000,5000,4500,174
